Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
1,closed,PLA+,0.1,20,Grid,30,2.579,54.3,518.848,24755.06666666667,0.01366666666666667,2128.810666666667,6.116666666666667,3.426666666666666
2,closed ,PLA+,0.1,20,Grid,50,2.8363333333333336,60.9,477.1443333333333,22743.13333333333,0.013,2068.996,6.063333333333333,3.46
3,closed ,PLA+,0.1,20,Grid,70,3.2716666666666665,62.4,481.243,21676.16666666667,0.01233333333333333,2009.842333333333,6.383333333333333,3.48
4,closed ,PLA+,0.1,20,Triangles,30,2.570333333333333,61.5,465.9886666666666,21275.93333333333,0.012,2065.603,6.246666666666667,3.506666666666666
5,closed ,PLA+,0.1,20,Triangles,50,2.7176666666666667,63.8,475.511,22436.36666666667,0.01233333333333333,2050.737666666667,6.173333333333333,3.433333333333334
6,closed ,PLA+,0.1,20,Triangles,70,2.9309999999999996,60.5,471.5756666666666,21910.1,0.012,2067.504666666666,6.149999999999999,3.5
7,closed ,PLA+,0.1,20,Zigzag,30,1.8126666666666666,65.6,504.5393333333333,23589.33333333333,0.01266666666666667,2070.138,6.223333333333334,3.436666666666667
8,closed ,PLA+,0.1,20,Zigzag,50,2.3993333333333333,67.5,500.8093333333333,22762.36666666667,0.01266666666666667,2067.729666666667,6.333333333333333,3.473333333333333
9,closed ,PLA+,0.1,20,Zigzag,70,2.576,65.3,477.9963333333333,22296.36666666667,0.01233333333333333,2072.126666666667,6.233333333333333,3.44
10,closed ,PLA+,0.1,50,Grid,30,3.8669999999999995,81.2,481.4756666666667,22987.13333333333,0.013,2074.749,6.036666666666666,3.47
11,closed ,PLA+,0.1,50,Grid,50,2.496333333333333,77.0,520.9356666666666,24862.86666666667,0.012,2367.778,6.073333333333333,3.450000000000001
12,closed ,PLA+,0.1,50,Grid,70,2.638,80.5,535.485,25339.4,0.013,2348.896666666667,6.096666666666667,3.466666666666667
13,closed ,PLA+,0.1,50,Triangles,30,3.3073333333333337,80.0,549.4956666666667,26002.23333333333,0.011,2666.324333333333,6.173333333333333,3.423333333333333
14,closed ,PLA+,0.1,50,Triangles,50,2.3783333333333334,80.1,533.4576666666667,25141.83333333333,0.011,2651.077666666667,6.056666666666668,3.503333333333333
15,closed ,PLA+,0.1,50,Triangles,70,2.8123333333333336,80.4,527.937,24300.73333333333,0.011,2568.94,6.243333333333333,3.48
16,closed ,PLA+,0.1,50,Zigzag,30,2.138,76.7,559.423,25906.3,0.012,2504.295666666667,6.260000000000001,3.45
17,closed ,PLA+,0.1,50,Zigzag,50,2.2840000000000003,75.4,549.8283333333334,25743.3,0.013,2468.904666666667,6.103333333333334,3.5
18,closed ,PLA+,0.1,50,Zigzag,70,3.207333333333333,75.5,617.8180000000001,28900.66666666667,0.014,2525.021333333334,6.266666666666667,3.423333333333333
19,closed ,PLA+,0.1,80,Grid,30,1.8906666666666665,83.3,649.3003333333334,30508.9,0.012,3085.137,6.186666666666667,3.44
20,closed ,PLA+,0.1,80,Grid,50,2.4076666666666666,81.7,668.6626666666667,31251.5,0.01233333333333333,3148.007333333333,6.19,3.456666666666667
21,closed ,PLA+,0.1,80,Grid,70,3.16,82.1,631.9976666666666,29518.46666666666,0.012,2964.279666666667,6.186666666666667,3.46
22,closed ,PLA+,0.1,80,Triangles,30,3.157,82.4,649.5533333333333,30375.9,0.01066666666666667,3356.015,6.156666666666666,3.473333333333333
23,closed ,PLA+,0.1,80,Triangles,50,2.9436666666666667,82.8,697.725,32632.46666666666,0.011,3465.282333333333,6.18,3.46
24,closed ,PLA+,0.1,80,Triangles,70,3.292,82.1,706.8326666666667,32832.56666666667,0.011,3472.533666666667,6.216666666666666,3.463333333333333
25,closed ,PLA+,0.1,80,Zigzag,30,4.022333333333333,81.0,762.7906666666668,35620.83333333334,0.013,3253.146,6.22,3.443333333333333
26,closed ,PLA+,0.1,80,Zigzag,50,2.619666666666667,81.3,801.475,37307.23333333333,0.013,3357.978000000001,6.233333333333333,3.446666666666667
